<<<<<<< HEAD
school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
MS;F;18;U;LE3;T;4;4;teacher;teacher;other;mother;4;4;2;no;yes;yes;yes;yes;yes;yes;yes;2;3;2;3;5;5;6;18;19;16
MS;F;18;U;GT3;T;2;2;teacher;services;other;mother;3;4;1;yes;no;yes;no;yes;no;yes;yes;1;4;1;4;3;5;3;16;19;19
MS;F;19;U;LE3;T;0;4;health;health;other;father;2;1;2;no;yes;yes;no;yes;yes;yes;yes;3;5;5;2;2;1;17;6;13;10
MS;F;15;R;GT3;A;2;3;health;at_home;home;other;3;3;2;yes;no;no;no;no;no;yes;yes;4;2;3;3;1;4;23;12;9;8
MS;F;17;R;LE3;A;2;0;health;at_home;home;mother;4;1;2;yes;no;yes;yes;no;no;yes;yes;2;5;4;3;4;4;4;9;17;11
MS;M;18;R;GT3;A;1;3;other;teacher;reputation;other;4;1;1;yes;no;no;no;yes;yes;yes;no;1;1;4;3;4;1;5;11;18;7
MS;F;15;R;LE3;A;1;2;at_home;other;course;other;4;2;2;no;yes;no;no;no;no;yes;yes;3;2;3;1;2;5;6;5;11;5
GP;M;21;U;LE3;T;1;2;at_home;health;other;father;2;2;1;no;no;no;yes;yes;yes;yes;yes;3;3;1;5;4;2;14;9;16;8
GP;M;18;R;GT3;A;1;3;services;services;home;father;3;4;1;no;yes;yes;yes;yes;no;yes;yes;1;4;2;3;3;2;0;5;18;7
MS;F;20;R;GT3;T;4;4;health;at_home;course;other;3;1;0;yes;no;no;yes;yes;no;no;yes;1;4;1;4;4;5;23;16;10;5
MS;M;21;U;LE3;T;3;4;other;at_home;course;mother;4;4;0;yes;yes;yes;no;yes;no;no;yes;4;3;3;2;2;4;3;17;14;6
MS;F;22;U;GT3;T;0;2;other;health;home;other;3;3;2;no;yes;yes;yes;no;yes;yes;no;1;1;3;4;2;2;24;12;19;15
GP;M;18;U;LE3;T;2;1;at_home;other;other;mother;1;1;1;yes;yes;yes;yes;no;no;yes;yes;4;3;2;1;3;3;0;19;9;9
MS;F;17;R;LE3;T;4;4;health;at_home;reputation;mother;1;1;0;yes;no;yes;yes;yes;yes;yes;yes;4;1;5;1;4;3;10;8;11;19
GP;M;16;U;LE3;A;0;3;services;health;course;father;1;3;2;no;yes;yes;yes;no;no;no;yes;5;2;5;4;4;1;17;8;15;12
GP;F;21;U;GT3;A;4;4;health;teacher;reputation;mother;3;3;0;no;no;no;no;no;no;yes;no;3;3;2;5;1;5;13;6;10;5
GP;F;22;U;LE3;A;4;3;teacher;other;other;mother;2;4;0;no;yes;no;yes;yes;no;yes;no;3;1;5;1;5;5;21;9;14;8
GP;F;19;R;LE3;A;2;2;health;services;other;other;2;4;1;yes;yes;yes;no;no;no;yes;yes;3;2;4;1;2;2;10;5;6;18
GP;F;19;U;GT3;T;3;4;teacher;at_home;reputation;father;2;3;1;yes;yes;no;no;yes;yes;yes;yes;5;3;5;4;1;4;9;13;17;8
MS;F;17;R;GT3;A;1;3;teacher;health;other;mother;2;4;0;yes;yes;yes;no;yes;yes;yes;no;4;4;5;1;2;5;16;9;17;9
MS;M;18;R;GT3;T;3;2;services;teacher;course;mother;1;3;0;yes;no;no;yes;yes;no;yes;no;4;3;5;5;1;2;3;10;17;11
MS;M;15;U;GT3;A;2;1;at_home;services;reputation;father;1;1;1;yes;yes;no;no;yes;no;yes;no;1;5;4;5;5;2;23;6;7;17
MS;M;18;U;LE3;T;2;3;health;health;other;other;4;1;2;no;yes;no;yes;no;yes;yes;yes;5;3;5;5;1;5;14;14;6;16
MS;F;17;R;LE3;T;2;1;teacher;health;reputation;father;3;2;1;yes;no;no;yes;yes;yes;yes;yes;1;5;4;2;2;2;15;14;16;12
GP;M;19;U;LE3;A;0;1;health;services;course;father;3;1;0;yes;yes;no;yes;no;yes;yes;no;5;2;2;5;4;1;20;5;7;19
MS;F;18;U;LE3;T;3;0;at_home;teacher;other;mother;2;3;2;yes;yes;yes;no;yes;yes;no;yes;1;3;1;5;2;1;12;8;5;10
MS;F;19;R;GT3;T;3;4;at_home;teacher;course;mother;1;4;0;no;yes;yes;yes;yes;no;yes;no;2;2;2;2;3;5;8;11;12;5
GP;M;21;R;LE3;A;4;3;other;other;other;other;2;2;2;no;yes;no;yes;no;no;yes;no;3;2;1;3;3;4;10;10;10;11
MS;M;22;U;LE3;T;4;1;at_home;at_home;home;mother;4;4;0;no;no;yes;yes;yes;yes;yes;no;3;1;2;1;3;1;10;14;17;7
GP;F;15;R;GT3;A;4;0;services;services;other;mother;3;3;2;yes;no;no;no;no;yes;yes;yes;4;2;1;5;3;1;5;5;6;19
MS;M;21;U;LE3;A;2;2;teacher;services;reputation;father;3;1;2;no;yes;yes;no;no;yes;no;no;2;2;1;1;5;5;0;5;12;17
GP;F;19;U;LE3;A;3;3;other;services;other;mother;2;2;0;no;no;no;no;yes;yes;yes;no;3;3;3;4;4;3;21;12;10;17
MS;F;19;U;LE3;T;2;1;services;teacher;course;other;4;3;2;no;no;no;yes;yes;yes;no;yes;4;3;1;1;4;2;5;8;11;17
MS;F;16;R;LE3;T;0;4;health;at_home;course;father;3;2;1;yes;yes;no;no;yes;yes;yes;no;2;4;1;2;2;1;12;9;15;10
GP;F;16;U;LE3;T;4;0;teacher;other;other;other;4;2;0;no;no;yes;yes;yes;no;no;yes;3;1;3;1;1;3;21;17;5;19
GP;F;21;U;LE3;A;2;1;at_home;health;reputation;father;4;1;1;yes;yes;yes;yes;yes;no;yes;no;1;2;5;1;2;4;23;11;11;12
GP;M;20;U;GT3;T;2;4;teacher;health;home;mother;2;3;0;yes;no;no;no;yes;no;yes;yes;5;1;5;1;2;3;21;12;7;11
GP;M;21;R;GT3;A;0;1;health;services;reputation;father;1;4;2;no;no;no;yes;no;yes;yes;no;2;5;3;3;2;5;4;19;15;14
GP;F;16;R;LE3;A;1;3;other;at_home;home;father;2;2;2;yes;no;yes;no;no;yes;no;no;4;2;4;3;2;4;14;14;16;10
GP;F;19;R;LE3;T;3;3;other;teacher;course;mother;1;2;2;no;yes;yes;yes;yes;yes;no;no;2;1;1;4;4;4;17;11;12;13
GP;M;17;R;GT3;A;1;3;other;at_home;reputation;mother;4;4;0;yes;no;yes;no;no;no;yes;no;4;4;1;2;1;3;19;6;10;13
GP;M;21;R;LE3;T;4;0;at_home;at_home;home;other;1;3;1;no;yes;yes;yes;no;yes;no;no;2;4;3;1;2;5;13;18;8;5
MS;F;19;U;LE3;T;2;3;services;teacher;other;other;4;2;1;no;yes;yes;yes;yes;yes;yes;yes;4;2;3;1;4;1;14;19;15;5
MS;M;17;R;LE3;T;0;4;services;services;course;mother;3;2;0;no;no;no;yes;yes;no;yes;yes;3;5;4;1;2;3;4;8;12;5
GP;F;17;R;GT3;T;0;1;teacher;at_home;other;mother;3;2;0;yes;yes;yes;yes;no;yes;yes;no;1;4;5;1;3;1;3;14;13;12
MS;M;16;R;LE3;T;3;2;at_home;health;course;mother;3;3;1;no;no;no;yes;yes;no;yes;no;3;4;2;3;2;3;1;16;14;16
MS;F;21;U;GT3;A;1;4;other;teacher;reputation;father;2;3;1;yes;yes;no;no;no;no;yes;no;1;5;5;4;2;1;6;5;6;17
MS;M;18;R;LE3;A;3;4;other;other;reputation;father;2;4;1;no;yes;yes;yes;yes;yes;yes;yes;3;1;1;5;5;3;9;14;19;18
MS;F;15;R;GT3;A;2;3;health;services;course;father;4;3;1;yes;no;yes;no;no;no;yes;yes;3;4;3;2;3;4;15;13;10;16
GP;M;16;U;GT3;T;3;0;health;teacher;course;mother;3;3;0;yes;no;no;no;no;yes;yes;no;2;3;4;1;1;2;9;7;9;18
MS;M;16;R;LE3;T;0;1;other;other;course;other;2;1;0;no;no;yes;no;no;no;yes;yes;5;4;5;4;2;4;17;16;9;14
GP;F;18;U;GT3;T;0;0;other;other;reputation;mother;3;4;2;no;no;no;yes;no;yes;yes;no;4;1;4;5;1;1;16;7;14;11
MS;M;15;U;LE3;A;4;1;at_home;at_home;home;father;2;2;1;no;yes;yes;yes;yes;no;yes;no;4;1;5;4;3;5;20;14;15;7
MS;F;19;U;GT3;T;4;1;services;at_home;other;father;1;3;2;no;yes;yes;yes;yes;yes;yes;no;4;2;1;3;2;4;12;13;7;17
MS;M;20;U;LE3;A;2;0;health;at_home;other;mother;1;2;0;no;yes;yes;no;no;no;yes;yes;1;3;2;5;5;2;0;14;16;6
GP;F;21;U;LE3;A;1;4;services;teacher;reputation;mother;3;2;0;yes;no;no;yes;no;no;yes;no;4;1;4;4;4;1;0;7;12;8
MS;M;20;R;GT3;T;3;1;at_home;teacher;other;father;4;1;2;no;yes;yes;yes;yes;no;yes;no;4;5;4;3;5;4;14;12;18;7
GP;F;19;U;LE3;T;2;0;other;services;course;father;2;3;1;no;no;no;no;yes;yes;yes;no;2;3;2;4;5;3;0;6;12;11
MS;M;22;U;LE3;A;4;1;services;at_home;home;father;2;4;1;yes;yes;yes;no;no;yes;yes;yes;3;3;4;4;4;5;5;18;16;14
GP;F;16;R;GT3;T;3;2;other;other;other;mother;1;3;1;no;no;no;no;no;no;yes;yes;4;5;4;5;4;1;24;17;9;19
MS;M;15;U;LE3;A;4;4;other;health;home;father;1;2;1;no;yes;yes;no;no;yes;yes;yes;5;4;5;3;4;4;12;7;12;19
GP;F;16;R;LE3;T;3;3;teacher;services;course;father;4;4;2;yes;yes;no;no;no;no;yes;no;4;5;5;1;2;1;0;6;14;12
GP;F;17;R;GT3;T;1;1;services;teacher;other;other;4;3;2;no;no;no;no;no;yes;yes;yes;1;5;2;2;1;3;4;5;19;10
MS;F;16;R;GT3;A;2;2;services;services;reputation;mother;4;2;0;no;yes;no;yes;yes;no;no;no;1;4;1;5;1;2;8;6;12;7
GP;M;16;U;LE3;T;3;3;other;services;home;other;3;2;1;no;no;no;no;no;yes;no;yes;1;4;4;3;4;4;24;12;7;10
MS;F;19;U;LE3;A;0;3;at_home;services;course;other;1;1;1;yes;yes;no;yes;yes;no;yes;no;4;4;1;4;5;1;16;13;6;19
MS;M;19;U;GT3;T;0;1;teacher;services;home;father;3;1;1;no;yes;no;yes;yes;no;yes;yes;2;4;2;3;3;1;15;17;13;6
MS;F;19;R;GT3;A;3;0;other;health;other;mother;1;1;2;yes;no;yes;yes;yes;no;yes;no;5;4;2;2;4;1;7;6;6;19
MS;M;20;U;LE3;A;3;1;health;at_home;other;father;1;2;1;no;no;no;no;no;no;yes;yes;4;5;5;2;5;2;16;11;13;16
MS;F;17;U;GT3;T;3;2;health;other;reputation;mother;2;3;2;yes;yes;no;yes;yes;yes;no;yes;2;2;4;1;5;1;14;19;8;11
MS;M;22;U;LE3;A;0;3;teacher;services;course;other;1;1;1;no;yes;no;no;yes;no;yes;yes;2;2;3;1;2;5;23;9;16;18
MS;M;22;R;LE3;T;0;1;at_home;services;course;mother;1;3;1;yes;yes;yes;no;yes;yes;yes;no;4;1;2;2;2;5;0;7;17;15
MS;F;19;R;LE3;T;3;0;other;services;reputation;father;3;1;0;yes;yes;yes;yes;yes;yes;yes;yes;4;2;4;5;1;1;11;13;6;14
MS;M;15;U;LE3;T;4;1;services;at_home;reputation;father;1;4;1;yes;yes;yes;no;no;no;no;yes;2;2;1;5;1;5;4;19;14;18
MS;M;20;U;LE3;A;4;4;teacher;teacher;course;father;3;4;1;yes;yes;no;yes;no;yes;yes;yes;2;5;5;4;3;4;23;10;5;11
MS;F;18;U;GT3;A;1;0;at_home;teacher;home;mother;4;1;0;yes;no;yes;yes;yes;yes;yes;yes;2;4;1;1;3;5;5;15;8;8
GP;M;15;U;GT3;T;2;2;services;health;home;other;1;2;2;yes;no;yes;no;yes;yes;yes;no;4;4;2;4;3;1;24;5;13;17
GP;M;21;R;GT3;T;4;3;health;teacher;reputation;other;1;1;2;no;no;no;yes;no;no;yes;yes;2;5;2;1;3;3;0;9;16;12
MS;M;21;R;GT3;A;0;1;health;services;home;mother;3;1;1;no;yes;no;yes;no;yes;yes;no;1;2;1;2;5;4;24;11;13;8
MS;F;15;R;LE3;T;4;0;services;services;course;father;4;2;2;yes;yes;yes;yes;no;yes;yes;no;4;5;2;5;5;2;0;8;8;11
MS;M;19;R;LE3;T;1;4;teacher;services;other;other;2;4;1;yes;yes;no;no;yes;no;no;no;1;1;4;5;1;1;9;12;13;8
MS;F;18;U;LE3;A;1;0;health;health;other;father;4;3;0;yes;no;no;yes;no;no;no;no;3;4;2;2;2;2;9;14;19;17
MS;M;18;U;LE3;T;2;4;other;services;home;mother;3;1;0;yes;no;no;no;yes;yes;no;yes;4;3;5;4;2;3;2;9;16;16
MS;M;20;U;GT3;A;4;2;services;teacher;reputation;father;4;2;1;no;yes;no;no;yes;no;yes;no;3;1;4;4;4;2;16;13;10;9
MS;M;18;R;LE3;T;0;3;services;at_home;reputation;other;3;1;0;yes;yes;yes;yes;no;yes;yes;no;2;1;3;3;5;1;18;13;5;11
MS;F;21;U;LE3;A;0;2;health;at_home;reputation;other;3;2;0;no;no;no;yes;yes;yes;yes;no;2;5;2;1;3;1;10;13;14;17
GP;M;17;R;GT3;T;3;1;teacher;other;reputation;father;2;3;1;no;no;yes;no;no;yes;yes;no;5;2;2;4;3;3;17;5;17;18
MS;M;19;R;GT3;T;0;0;other;teacher;reputation;mother;1;3;1;yes;no;yes;no;yes;no;yes;yes;2;4;5;2;4;1;1;6;18;18
GP;F;18;U;GT3;A;2;4;teacher;services;home;father;3;4;0;yes;yes;yes;yes;no;yes;yes;yes;3;3;5;4;2;3;8;7;10;17
MS;M;20;U;GT3;T;2;4;at_home;at_home;other;mother;3;2;2;no;yes;yes;yes;yes;no;yes;no;2;1;1;5;3;3;23;18;13;14
MS;F;21;U;LE3;A;0;0;at_home;teacher;other;father;2;2;2;no;yes;no;no;yes;no;yes;no;4;3;1;1;2;1;16;8;17;7
GP;F;17;R;LE3;T;0;0;health;at_home;home;other;3;4;1;yes;no;no;no;no;yes;yes;no;2;2;1;3;4;5;13;14;6;14
MS;M;16;U;GT3;A;3;1;health;services;reputation;mother;1;4;1;yes;no;no;no;no;no;yes;yes;5;2;5;1;2;3;3;13;10;9
GP;F;16;R;LE3;A;0;2;health;at_home;home;mother;2;2;2;yes;yes;yes;no;no;no;yes;yes;2;3;1;5;2;1;16;14;6;15
MS;M;17;U;LE3;A;3;4;at_home;other;other;mother;1;4;0;no;yes;yes;no;no;no;yes;yes;3;4;1;5;2;5;16;17;8;18
MS;F;21;R;LE3;A;3;1;teacher;other;course;other;1;3;2;no;no;yes;yes;yes;no;yes;yes;3;2;3;5;3;3;11;10;19;7
GP;F;20;R;GT3;T;0;2;teacher;at_home;home;father;2;1;2;yes;yes;no;no;no;no;yes;yes;2;3;1;5;1;5;19;5;12;9
MS;M;17;U;LE3;T;1;1;health;teacher;reputation;other;3;3;2;no;no;yes;no;no;yes;yes;no;3;1;2;2;5;4;17;16;17;18
GP;F;19;R;GT3;A;1;4;other;teacher;other;mother;1;4;2;no;no;no;yes;yes;no;yes;yes;3;3;5;3;2;4;2;13;11;7
MS;F;19;R;LE3;A;3;0;teacher;teacher;other;father;1;2;1;yes;yes;no;yes;no;yes;yes;yes;5;3;4;5;2;5;10;10;15;15
GP;F;16;U;LE3;A;0;0;at_home;at_home;other;other;1;2;1;yes;no;no;no;no;yes;yes;no;4;5;3;5;2;3;24;8;16;14
GP;F;18;R;LE3;T;1;2;services;teacher;other;mother;1;3;0;no;yes;no;no;yes;yes;yes;yes;5;2;5;4;1;1;17;18;17;15
MS;F;20;U;GT3;T;0;3;services;services;reputation;mother;2;2;0;no;no;yes;yes;no;yes;yes;yes;1;4;5;3;4;2;3;8;13;11
MS;M;16;R;LE3;T;0;2;services;other;course;other;2;4;0;yes;no;no;no;no;yes;yes;yes;5;4;2;1;3;1;16;7;11;17
GP;F;18;U;GT3;T;0;3;other;services;other;other;4;3;0;yes;yes;yes;no;no;yes;yes;no;2;5;1;3;1;2;17;11;5;5
MS;M;18;U;GT3;A;4;1;health;teacher;home;other;4;2;2;yes;no;no;yes;no;no;yes;yes;4;4;2;3;2;2;4;7;6;13
MS;F;22;R;GT3;A;0;1;at_home;services;course;mother;1;1;1;yes;yes;yes;no;no;no;yes;no;2;3;1;3;1;3;13;6;10;13
MS;M;19;R;LE3;A;4;4;other;teacher;other;other;3;1;1;yes;yes;yes;yes;no;no;yes;no;1;5;1;5;1;5;9;14;11;9
GP;M;21;R;LE3;T;3;3;at_home;at_home;course;mother;1;4;0;no;no;no;yes;yes;yes;no;yes;4;1;5;5;1;1;14;12;7;13
GP;F;15;R;LE3;T;1;4;at_home;services;home;other;3;2;0;no;yes;no;yes;no;no;yes;yes;3;2;1;2;4;5;0;8;13;14
GP;F;21;R;LE3;T;1;0;health;at_home;other;mother;1;4;2;no;yes;no;yes;yes;no;yes;yes;5;2;3;1;5;4;15;12;17;17
GP;F;15;U;GT3;A;1;3;services;at_home;home;mother;4;3;2;no;yes;yes;no;yes;no;yes;yes;2;2;3;4;3;3;10;5;19;19
GP;M;17;R;GT3;A;1;2;health;health;reputation;father;4;1;0;yes;yes;no;yes;yes;yes;yes;no;1;3;3;3;4;3;22;19;11;10
GP;F;19;U;GT3;T;1;0;other;teacher;other;other;3;3;1;yes;yes;no;no;yes;no;yes;yes;3;1;5;1;4;4;19;9;18;19
GP;M;18;U;LE3;A;1;0;other;other;other;other;1;2;1;yes;yes;yes;no;no;yes;yes;no;5;5;2;1;5;1;5;17;10;9
GP;M;20;R;GT3;T;1;2;other;teacher;other;mother;3;4;1;no;no;no;no;no;no;yes;no;3;5;4;2;4;4;23;13;17;17
GP;M;15;U;LE3;T;3;0;health;other;other;mother;4;4;0;no;yes;yes;no;no;yes;yes;no;5;2;1;4;1;1;21;5;10;7
MS;F;21;U;GT3;A;0;3;at_home;teacher;reputation;mother;1;4;1;no;no;no;no;yes;yes;yes;no;4;1;4;3;1;2;15;15;5;15
GP;F;18;U;LE3;T;2;4;at_home;at_home;other;father;1;3;2;yes;no;yes;yes;no;yes;yes;no;3;1;2;4;2;3;1;17;17;15
MS;M;15;U;LE3;A;4;0;teacher;services;course;father;3;1;2;no;yes;yes;yes;no;no;yes;yes;3;1;2;2;4;1;0;8;9;12
MS;M;15;R;GT3;T;2;3;other;services;other;mother;2;3;0;yes;no;no;yes;no;no;yes;no;3;4;5;5;2;5;23;10;14;8
MS;F;22;U;GT3;A;2;1;at_home;health;reputation;other;3;3;2;yes;no;yes;yes;yes;yes;yes;no;4;4;3;1;3;5;23;14;7;14
GP;M;15;R;GT3;A;0;3;teacher;other;other;other;4;2;0;yes;yes;no;no;yes;no;no;yes;1;2;3;3;1;3;8;12;11;17
GP;F;20;R;GT3;A;0;4;at_home;other;course;father;4;2;1;yes;yes;no;yes;no;yes;yes;yes;5;1;2;5;3;4;21;18;14;19
GP;M;19;U;LE3;T;0;3;other;other;reputation;father;4;2;1;yes;yes;yes;no;yes;yes;yes;no;3;1;5;2;5;4;11;7;7;17
GP;F;20;R;GT3;T;1;2;services;at_home;reputation;mother;4;1;1;yes;no;no;no;yes;no;yes;no;4;5;5;4;1;1;16;9;9;7
MS;M;16;R;GT3;A;3;4;other;other;course;other;4;1;2;no;no;yes;yes;no;no;yes;yes;1;5;1;1;3;4;24;11;11;17
GP;F;18;R;GT3;A;1;1;health;services;course;mother;2;2;0;yes;yes;yes;yes;yes;no;no;no;5;2;3;3;5;3;14;5;18;10
GP;M;19;U;LE3;T;3;2;at_home;at_home;course;father;1;2;1;yes;yes;yes;yes;yes;yes;yes;yes;4;1;2;5;3;1;18;19;7;12
GP;F;22;R;LE3;T;3;3;at_home;teacher;course;other;3;1;0;no;no;yes;yes;no;yes;no;yes;5;2;4;5;5;2;21;11;17;17
GP;F;19;R;GT3;T;2;4;health;other;course;other;3;4;1;yes;no;yes;no;yes;no;yes;no;3;5;3;1;5;4;9;17;17;19
GP;M;19;R;LE3;A;2;1;health;other;reputation;father;4;1;2;no;no;yes;no;yes;yes;yes;yes;1;5;1;4;1;4;11;16;14;13
MS;M;21;U;GT3;T;3;2;services;teacher;reputation;mother;3;1;2;no;no;yes;yes;yes;no;yes;no;4;4;5;2;2;1;13;15;6;18
GP;F;19;R;LE3;T;3;1;at_home;other;other;mother;4;1;0;no;yes;yes;no;yes;yes;no;no;1;2;2;4;5;5;8;12;10;10
MS;M;22;U;LE3;A;1;3;at_home;teacher;other;other;2;2;2;yes;no;no;no;yes;no;yes;no;3;2;3;4;5;4;12;12;12;9
GP;F;20;U;LE3;T;1;1;services;at_home;home;father;2;4;2;yes;no;no;no;yes;no;yes;yes;1;1;4;4;1;3;2;13;8;16
MS;M;19;U;LE3;T;2;0;teacher;services;other;other;1;1;0;no;no;yes;yes;yes;yes;yes;no;1;1;1;1;2;4;20;10;13;15
GP;F;17;U;GT3;T;0;2;services;teacher;other;father;2;2;1;yes;no;no;no;yes;no;yes;yes;2;4;1;1;4;2;13;16;16;6
GP;F;18;U;GT3;A;3;1;other;health;course;mother;2;3;2;yes;yes;no;yes;no;no;no;no;1;3;3;2;4;4;20;10;16;6
MS;F;19;U;GT3;A;1;3;at_home;teacher;course;father;1;3;0;no;yes;no;yes;no;yes;yes;no;5;3;4;4;2;5;9;6;19;13
MS;F;18;R;LE3;A;2;3;health;other;other;mother;3;1;2;no;no;no;no;no;no;yes;yes;4;3;1;1;3;4;15;7;12;6
MS;F;17;U;GT3;A;1;1;other;at_home;home;father;4;3;2;yes;no;no;no;no;yes;yes;no;2;2;2;2;1;1;6;8;11;6
GP;F;17;R;GT3;A;3;3;at_home;at_home;course;other;4;4;2;no;yes;no;yes;yes;no;yes;no;4;2;1;2;2;4;3;8;18;7
MS;M;18;R;GT3;A;3;4;services;teacher;other;mother;3;3;2;no;yes;yes;no;no;yes;no;yes;4;5;4;4;4;5;19;12;11;7
GP;M;15;U;LE3;A;4;4;other;services;other;other;1;3;0;no;no;no;no;no;no;yes;yes;3;2;5;3;5;1;22;18;7;8
GP;M;16;R;LE3;T;0;4;at_home;health;reputation;other;3;4;0;yes;no;no;yes;yes;no;yes;yes;3;2;5;4;4;3;24;5;18;11
MS;F;21;R;LE3;T;4;0;teacher;at_home;home;mother;2;1;0;yes;yes;no;yes;yes;no;no;no;2;2;3;3;5;1;10;14;10;13
MS;F;15;R;GT3;A;2;1;teacher;other;reputation;mother;1;1;2;yes;yes;no;yes;yes;no;yes;yes;3;4;4;2;1;2;15;18;17;6
GP;F;15;R;GT3;T;1;0;health;other;home;other;1;4;2;no;yes;yes;yes;yes;yes;yes;yes;3;2;1;1;5;1;19;8;17;8
GP;F;20;U;GT3;T;2;3;at_home;services;course;other;1;4;2;yes;yes;yes;no;yes;yes;yes;no;3;1;1;5;2;3;3;15;9;13
MS;M;21;R;LE3;A;3;0;teacher;at_home;home;other;4;4;0;no;yes;yes;no;no;yes;yes;yes;4;1;5;2;5;4;21;16;5;18
MS;M;21;U;LE3;T;4;3;services;teacher;other;other;3;3;2;yes;yes;yes;yes;yes;yes;yes;no;2;5;5;1;3;1;21;17;15;6
MS;F;15;R;GT3;T;4;3;at_home;other;other;mother;1;4;1;yes;no;no;yes;no;yes;no;no;4;4;2;2;2;1;22;15;7;14
GP;M;19;R;LE3;T;4;2;services;services;home;mother;1;2;2;no;yes;yes;yes;no;yes;yes;yes;5;1;5;4;1;1;16;15;17;15
GP;M;20;U;LE3;T;2;4;services;at_home;home;other;1;3;1;yes;yes;yes;no;yes;yes;yes;no;4;4;2;3;2;1;12;8;16;17
GP;F;20;R;LE3;T;3;3;teacher;at_home;home;father;3;1;2;no;yes;yes;yes;no;no;no;yes;5;4;1;2;3;3;10;5;5;5
GP;M;17;R;LE3;A;1;2;at_home;at_home;reputation;father;4;1;0;yes;yes;yes;no;no;no;yes;yes;1;5;2;1;1;5;2;7;8;14
